,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
0,Lionel Messi ,35, AM(CR),FW,29(2),2508.0,27.0,11.0,5.0,2.4,4.6,8.34,0
1,Cristiano Ronaldo ,37, M(L),FW,30,2545.0,31.0,9.0,7.2,1.6,2.2,8.27,0
3,Gareth Bale ,33, M(CLR),FW,24(3),2073.0,15.0,12.0,3.3,1.5,2.1,7.75,0
6,Alexis Sánchez ,33, M(CLR),FW,27(7),2386.0,19.0,10.0,1.9,1.4,1.1,7.54,0
7,Neymar ,30, AM(CLR),FW,19(7),1742.0,9.0,8.0,2.6,1.6,3.0,7.51,0
13,Ángel Di María ,34, M(CLR),FW,27(7),2384.0,4.0,17.0,1.8,2.6,1.4,7.46,0
15,Karim Benzema ,34, FW,,34(1),2779.0,17.0,9.0,2.9,1.8,0.5,7.44,0
19,Carlos Vela ,33, M(CLR),FW,35(2),3116.0,15.0,12.0,2.2,2.1,2.0,7.42,0
21,Isco ,30, M(CLR),FW,23(9),2001.0,8.0,6.0,1.4,2.2,2.1,7.41,0
23,Diego Costa ,34, FW,,34(1),2965.0,27.0,3.0,3.1,1.3,1.7,7.4,0
30,Cesc Fàbregas ,35, M(CL),FW,28(7),2446.0,8.0,12.0,1.4,1.6,0.7,7.32,0
31,Aritz Aduriz ,41, FW,,26(5),2410.0,15.0,7.0,2.6,1.0,0.7,7.32,0
42,Iker Muniain ,29, AM(CLR),,32(3),2730.0,7.0,3.0,1.5,0.9,2.7,7.23,0
43,Antoine Griezmann ,31, AM(CLR),FW,31(4),2666.0,16.0,3.0,3.2,1.0,0.6,7.22,0
47,Jonathan Viera ,33, AM(CLR),FW,1,79.0,0.0,0.0,1.0,0.0,5.0,7.21,0
65,Nolito ,36, AM(CL),,24(11),2264.0,12.0,2.0,2.3,1.4,1.3,7.13,0
67,Pedro ,35, M(CLR),FW,28(9),2367.0,15.0,8.0,1.9,1.0,0.7,7.13,0
74,Fabián Orellana ,36, AM(CLR),,22(8),1956.0,5.0,6.0,1.3,1.5,1.4,7.1,0
90,Oriol Riera ,36, FW,,35(2),3022.0,13.0,0.0,2.1,0.9,0.4,7.05,0
98,Giovani dos Santos ,33, AM(CLR),FW,26(4),2205.0,10.0,8.0,1.9,1.4,0.9,7.03,0
102,Charles ,38, FW,,29(1),2349.0,12.0,3.0,2.2,1.1,0.3,7.02,0
106,Carlos Bacca ,36, FW,,27(7),2290.0,14.0,5.0,1.9,1.0,0.9,7.01,0
111,Nordin Amrabat ,35, M(CLR),FW,15,1314.0,2.0,4.0,2.1,1.7,2.3,7.0,0
112,Sergio García ,39, M(CLR),FW,37,3259.0,11.0,8.0,2.0,1.9,1.8,7.0,0
115,Miku ,37, FW,,3(2),292.0,2.0,1.0,1.2,0.8,0.8,6.99,0
120,Ikechukwu Uche ,38, FW,,19(7),1657.0,13.0,2.0,1.6,0.9,0.4,6.98,0
124,Vitolo ,33, M(CLR),FW,25(4),2198.0,4.0,6.0,1.1,1.3,1.1,6.97,0
125,Raúl García ,36, M(CLR),FW,18(16),1710.0,9.0,3.0,1.8,0.5,0.2,6.97,0
131,Javi Guerra ,40, FW,,37,3161.0,15.0,1.0,2.3,0.6,0.4,6.96,0
132,Arda Turan ,35, AM(CLR),,22(8),1932.0,3.0,4.0,1.1,1.1,1.3,6.96,0
137,Ibai Gómez ,32, AM(LR),,6(12),685.0,8.0,2.0,2.6,1.3,0.7,6.94,0
141,Cristhian Stuani ,36, AM(CLR),FW,28(6),2574.0,6.0,2.0,1.5,0.6,0.6,6.94,0
149,Javier Aquino ,32, AM(R),,18(9),1695.0,1.0,4.0,0.7,1.0,1.1,6.93,0
155,Roque Santa Cruz ,41, FW,,24(7),2140.0,6.0,2.0,1.6,1.0,0.6,6.92,0
161,Emiliano Armenteros ,36, AM(CLR),,27(2),2248.0,4.0,3.0,1.5,1.7,0.8,6.91,0
176,Youssef El Arabi ,35, AM(C),FW,34(2),2801.0,12.0,2.0,2.6,0.8,0.9,6.88,0
182,Jonas ,38, AM(CLR),FW,23(8),2097.0,10.0,1.0,2.8,0.7,0.6,6.86,0
188,David Villa ,40, AM(L),FW,32(4),2431.0,13.0,4.0,2.1,0.8,0.3,6.85,0
190,Fede Cartabia ,29, AM(CLR),,16(9),1423.0,0.0,1.0,1.8,1.1,1.6,6.85,0
191,Joaquín Larrivey ,38, FW,,24(11),2415.0,12.0,4.0,1.9,0.7,0.1,6.85,0
202,Manu Molina ,30, AM(R),,0(1),31.0,0.0,1.0,0.0,2.0,0.0,6.83,0
206,David Barral ,39, FW,,25(7),2255.0,7.0,0.0,2.0,0.7,0.6,6.82,0
207,Roberto Torres ,33, AM(CLR),,25(8),2282.0,5.0,3.0,1.6,1.8,0.5,6.82,0
213,Suso ,28, AM(CLR),FW,26(7),2265.0,3.0,7.0,1.9,1.0,1.7,6.81,0
234,Diego Perotti ,34, M(CLR),FW,3(7),403.0,1.0,1.0,1.1,1.0,1.6,6.77,0
235,Manu Trigueros ,31, M(CLR),FW,23(10),2017.0,1.0,1.0,1.0,0.9,0.5,6.76,0
242,Rubén Castro ,41, AM(LR),FW,22(3),2019.0,10.0,1.0,3.0,1.0,0.6,6.76,0
248,Ángel Lafita ,38, M(CLR),FW,22(7),1870.0,7.0,1.0,1.4,0.7,1.0,6.75,0
249,Iago Falque ,32, AM(CLR),FW,26(2),2001.0,3.0,2.0,1.4,1.3,0.7,6.75,0
258,Kevin Gameiro ,35, FW,,20(15),1890.0,14.0,3.0,1.5,0.8,0.5,6.73,0
263,Kike Sola ,36, FW,,2(3),226.0,1.0,0.0,1.4,0.0,0.6,6.72,0
274,Jorge Molina ,40, FW,,25(7),2352.0,9.0,1.0,1.8,1.1,0.4,6.69,0
275,Jonathan Viera ,33, AM(CLR),FW,18(8),1725.0,5.0,7.0,1.9,1.4,1.2,6.69,0
276,Gonzalo Castro ,38, AM(LR),FW,12(11),1022.0,2.0,3.0,1.0,1.1,1.2,6.69,0
281,Dorlan Pabón ,34, AM(CLR),FW,11(2),913.0,3.0,0.0,2.8,0.8,0.8,6.69,0
282,Carles Gil ,29, AM(CR),,29(3),2524.0,1.0,3.0,1.0,1.3,1.6,6.69,0
284,Víctor Casadesús ,37, AM(C),FW,13(1),1051.0,1.0,2.0,1.1,0.8,1.0,6.69,0
293,Paco Alcácer ,29, AM(R),FW,17(6),1542.0,6.0,2.0,1.9,0.7,0.1,6.67,0
295,Imanol Agirretxe ,35, FW,,21(10),1960.0,8.0,1.0,2.0,0.4,0.4,6.67,0
