,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating,Country
0,James Rodríguez ,31, AM(CLR),FW,19(4),1627,7,11,1.7,2.8,0.9,7.63,6.98,Colombia
1,Robert Lewandowski ,34, FW,,24(6),2169,29,2,4.2,0.7,0.6,7.49,6.44,Poland
2,Thomas Müller ,33, M(CLR),FW,22(7),1966,8,14,1.5,2.0,0.4,7.28,6.72,Germany
3,Mario Gomez ,37, FW,,16,1389,8,1,2.1,0.9,0.5,7.15,6.49,Germany
4,Alfred Finnbogason ,33, FW,,22,1826,12,3,2.3,1.5,0.9,7.11,6.92,Iceland
5,Thorgan Hazard ,29, M(CLR),FW,33(1),2947,10,5,2.6,1.9,1.5,7.11,7.25,Belgium
6,Andrej Kramaric ,31, AM(CLR),FW,22(12),2222,13,6,2.4,1.5,0.6,7.02,6.49,Croatia
7,Julian Brandt ,26, M(CLR),FW,26(8),2337,9,3,1.3,1.7,1.3,6.98,6.41,Germany
8,Ante Rebic ,29, AM(CLR),FW,21(4),1764,6,2,1.8,1.0,1.5,6.96,7.13,Croatia
9,Amine Harit ,25, AM(CLR),FW,23(8),2053,3,3,0.8,1.2,1.7,6.92,7.13,Morocco
10,Timo Werner ,26, AM(CLR),FW,28(4),2493,13,7,3.0,0.8,0.8,6.9,6.3,Germany
11,Emil Forsberg ,31, AM(CLR),FW,15(6),1374,2,2,1.7,1.9,1.9,6.84,6.93,Sweden
12,Yoshinori Muto ,30, FW,,20(7),1906,8,2,1.4,0.7,0.5,6.75,6.35,Japan
13,Mario Gomez ,37, FW,,11(1),938,1,2,2.0,0.9,0.3,6.69,6.49,Germany
14,Filip Kostic ,30, M(LR),FW,27(3),2413,5,1,2.2,1.0,1.1,6.68,6.38,Serbia
15,Yussuf Poulsen ,28, AM(R),FW,18(12),1662,4,2,1.3,0.7,0.7,6.68,6.94,Denmark
16,Luis Suárez ,35, AM(CLR),FW,33,2965,31,12,5.5,2.7,2.8,8.43,7.09,Uruguay
17,Sergio Agüero ,34, AM(CL),FW,20(3),1539,17,6,3.7,1.6,1.9,7.71,6.71,Argentina
18,Eden Hazard ,31, M(CLR),FW,32(3),2898,14,7,2.1,2.7,3.8,7.68,8.51,Belgium
19,David Silva ,36, M(CLR),FW,26(1),2174,7,9,2.0,3.2,1.1,7.57,6.8,Spain
20,Raheem Sterling ,27, M(CLR),FW,24(9),2221,9,5,1.4,1.6,2.8,7.4,6.59,England
21,Olivier Giroud ,36, FW,,36,3083,16,8,3.1,1.0,0.7,7.36,6.81,France
22,Romelu Lukaku ,29, AM(R),FW,29(2),2564,15,6,3.2,1.1,1.3,7.31,7.1,Belgium
23,Willian ,34, AM(CLR),,18(7),1680,4,2,1.8,2.6,1.5,7.25,6.96,Brazil
24,Christian Eriksen ,30, M(CLR),FW,23(2),1984,7,8,1.9,2.7,1.0,7.22,7.14,Denmark
25,Adnan Januzaj ,27, AM(CLR),,15(12),1641,4,3,1.7,1.1,1.9,6.96,7.67,Belgium
26,Nacer Chadli ,33, M(CLR),FW,15(9),1455,1,3,1.4,1.3,1.0,6.7,6.96,Belgium
27,Lionel Messi ,35, AM(CR),FW,32(4),2997,34,12,5.5,2.4,5.1,8.68,7.87,Argentina
28,Cristiano Ronaldo ,37, M(L),FW,27,2293,26,5,6.6,1.4,1.1,7.94,7.73,Portugal
29,Luis Suárez ,35, AM(CLR),FW,32(1),2902,25,12,3.7,1.7,1.2,7.72,7.09,Uruguay
30,Iago Aspas ,35, AM(CR),FW,33(1),2938,22,5,2.8,2.0,1.7,7.49,6.33,Spain
31,Antoine Griezmann ,31, AM(CLR),FW,30(2),2530,19,9,2.3,1.4,0.9,7.38,7.51,France
32,Isco ,30, M(CLR),FW,21(9),1781,7,7,1.6,1.6,1.9,7.16,8.29,Spain
33,Gonçalo Guedes ,25, AM(CLR),FW,27(6),2444,5,9,1.8,1.4,2.5,7.16,6.53,Portugal
34,Ousmane Dembélé ,25, AM(CLR),FW,12(5),931,3,6,1.2,1.6,2.4,7.15,6.37,France
35,Marco Asensio ,26, AM(CLR),FW,19(13),1839,6,6,1.8,1.6,1.0,7.02,6.3,Spain
36,Pione Sisto ,27, AM(CLR),FW,31(3),2535,5,9,1.5,1.2,2.2,6.96,6.8,Denmark
37,Yannick Carrasco ,29, M(CLR),FW,8(9),900,3,4,1.5,1.0,2.1,6.91,6.64,Belgium
38,Adnan Januzaj ,27, AM(CLR),,18(10),1580,3,5,2.1,1.3,2.4,6.86,7.67,Belgium
39,Diego Costa ,34, FW,,13(2),1048,3,3,1.7,0.9,1.0,6.84,7.12,Spain
40,Takashi Inui ,34, AM(CLR),,31(3),2640,5,2,1.9,0.8,1.2,6.64,7.05,Japan
41,Neymar ,30, AM(CLR),FW,20,1788,19,13,4.5,3.5,7.1,8.95,8.25,Brazil
42,Nabil Fekir ,29, AM(CLR),FW,28(2),2481,18,8,3.0,2.0,3.0,7.86,6.25,France
43,Edinson Cavani ,35, AM(LR),FW,30(2),2589,28,6,3.3,1.2,0.5,7.69,7.75,Uruguay
44,Kylian Mbappé ,23, AM(LR),FW,24(3),2097,13,8,2.9,1.9,2.9,7.54,7.75,France
45,Ángel Di María ,34, M(CLR),FW,26(4),2122,11,6,3.2,1.7,1.6,7.37,6.66,Argentina
46,Radamel Falcao ,36, FW,,25(1),2140,18,4,2.7,0.6,0.7,7.15,6.86,Colombia
47,Thomas Lemar ,26, AM(CLR),,27(3),2383,2,8,1.6,1.8,1.5,7.1,6.65,France
48,Julian Draxler ,29, AM(CLR),FW,19(11),1706,4,5,0.8,0.9,1.5,7.04,6.94,Germany
49,Wahbi Khazri ,31, M(CLR),FW,23(1),1927,9,2,2.7,1.4,1.9,7.0,7.5,Tunisia
50,Ismaïla Sarr ,24, AM(CLR),FW,22(2),1866,5,3,1.7,0.8,2.7,6.92,6.51,Senegal
51,Keita Baldé ,27, AM(LR),FW,19(4),1484,8,5,1.4,0.7,1.3,6.85,6.83,Senegal
52,Saîf-Eddine Khaoui ,27, AM(CR),,21(11),1960,5,2,1.9,1.0,1.5,6.81,6.27,Tunisia
53,Martin Braithwaite ,31, AM(CLR),FW,11(3),915,4,3,1.6,0.5,0.6,6.79,6.24,Denmark
54,Sergej Milinkovic-Savic ,27, AM(C),,33(2),2850,12,3,2.6,1.5,1.6,7.39,6.6,Serbia
55,Ivan Perisic ,33, M(CLR),FW,37,3316,11,9,3.1,2.0,0.8,7.35,7.13,Croatia
56,Adem Ljajic ,31, AM(CLR),FW,23(4),2155,6,10,2.3,2.5,1.6,7.21,6.35,Serbia
57,Dries Mertens ,35, AM(CLR),FW,35(3),3013,18,6,3.4,1.5,1.1,7.21,6.78,Belgium
58,Mario Mandzukic ,36, M(L),FW,27(5),2327,5,3,1.6,0.8,0.4,7.01,7.53,Croatia
59,M'Baye Niang ,27, AM(LR),FW,18(8),1540,4,1,1.8,0.7,1.2,6.69,7.29,Senegal
